,,,,,w1,w2,w3,w4,w5,w6,w7,w8,,,,,,,,,,,,,,,,,,
,,,,,0.15,0.2,0.25,0.3,0.4,0.45,0.5,0.55,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,h1 = w1*i1 + w2*i2,,∂E_total/∂w5 = ∂(E1+E2)/∂w5,,,,,,,,,,,,,,,,,,,,,,,
,,,,,h2 = w3*i1 + w4*i2,,∂E_total/∂w5 = ∂E1/∂w5,,,,,,,,,,,,,,,,,,,,,,,
,,,,,out_h1 = σ(h1) = 1/(1+exp(-h1)),,∂E_total/∂w5 = ∂E1/∂w5 = ∂E1/∂out_o1 * ∂out_o1/∂o1 * ∂o1/∂w5,,,,,,,,,,,,,,,,,,,,,,,
,,,,,out_h2 = σ(h2),,∂E1/∂out_01= ∂(1/2 * (t1 - out_o1)^2)/∂out_o1 = (out_o1 - t1),,,,,,,,,,,,,,,,,,,,,,,
,,,,,o1 = w5*out_h1 + w6*out_h2,,∂out_o1/∂01 = out_o1 * (1 - out_o1),,,,,,,,,,,,,,,,,,,,,,,
,,,,,o2 = w7*out_h1 + w8*out_h2,,∂o1/∂w5 = out_h1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,out_o1 = σ(o1),,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,out_o1 = σ(o2),,∂E_total/∂w5 = (out_o1 - t1) * out_o1*(1 - out_o1) * out_h1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,E_Total = E1+E2,,∂E_total/∂w6 = (out_o1 - t1) * out_o1*(1 - out_o1) * out_h2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,E1 = 1/2 * (t1 - out_o1)^2,,∂E_total/∂w7 = (out_o2 - t2) * out_o2*(1 - out_o2) * out_h1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,E2 = 1/2 * (t2 - out_o2)^2,,∂E_total/∂w6 = (out_o1 - t1) * out_o1*(1 - out_o1) * out_h2,,,,,,,,,,,,,,,,,,,,,,,
∂E_total/∂w1 = ∂E1/out_h1 * ∂out_h1/∂h1 * ∂h1/∂w1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
∂E_total/∂w2 = ∂E1/out_h1 * ∂out_h1/∂h1 * ∂h1/∂w2,,,,,∂E1/∂out_h1 = (out_o1 * t1) * out_o1 * (1 - out_01) * w5,,,,,,,,,,,,,,,,,,,,,,,,,
∂E_total/∂w3 = ∂E1/out_h2 * ∂out_h2/∂h2 * ∂h2/∂w3,,,,,∂E2/∂out_h1 = (out_o2 * t1) * out_o2 * (1 - out_02) * w7,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,∂E_total/∂out_h1 = (out_o1 * t1) * out_o1 * (1 - out_01) * w5 + (out_o2 * t1) * out_o2 * (1 - out_02) * w7,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,∂E_total/∂out_h1 = (out_o1 * t1) * out_o1 * (1 - out_01) * w5 + (out_o2 * t1) * out_o2 * (1 - out_02) * w7,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
∂E_total/∂w1 = ((out_o1 * t1) * out_o1 * (1 - out_01) * w5 + (out_o2 * t1) * out_o2 * (1 - out_02) * w7) * out_h1 * (1 - out_h1) * i1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
∂E_total/∂w2 = ((out_o1 * t1) * out_o1 * (1 - out_01) * w5 + (out_o2 * t1) * out_o2 * (1 - out_02) * w7) * out_h1 * (1 - out_h1) * i2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
∂E_total/∂w3 = ((out_o1 * t1) * out_o1 * (1 - out_01) * w6 + (out_o2 * t1) * out_o2 * (1 - out_02) * w8) * out_h2 * (1 - out_h2) * i1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
∂E_total/∂w4 = ((out_o1 * t1) * out_o1 * (1 - out_01) * w6 + (out_o2 * t1) * out_o2 * (1 - out_02) * w8) * out_h2 * (1 - out_h2) * i2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ͷ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t1,t2,i1,i2,w1,w2,w3,w4,h1,out_h1,h2,out_h2,w5,w6,w7,w8,o1,out_o1,o2,out_o2,E1,E2,E_total,∂E/∂w1,∂E/∂w2,∂E/∂w3,∂E/∂w4,∂E/∂w5,∂E/∂w6,∂E/∂w7,∂E/∂w8
0.01,0.99,0.05,0.1,0.15,0.2,0.25,0.3,0.0275,0.5068745668,0.0425,0.510623401,0.4,0.45,0.5,0.55,0.4325303572,0.6064777322,0.5342801539,0.6304808355,0.1778928425,0.06462701484,0.2425198573,0.00001641445306,0.00003282890612,0.0000182320075,0.00003646401501,0.07215707291,0.07269074519,-0.04245525009,-0.04276924828
0.01,0.99,0.05,0.1,0.1499835855,0.1999671711,0.249981768,0.299963536,0.02749589639,0.5068735411,0.042495442,0.510622262,0.3278429271,0.3773092548,0.5424552501,0.5927692483,0.3588374105,0.5887589748,0.5776373879,0.6405235883,0.1674809755,0.06106688116,0.2285478566,0.00001583915082,0.00003167830163,0.00001764316968,0.00003528633937,0.07102828584,0.07155359482,-0.04078711761,-0.04108876982
0.01,0.99,0.05,0.1,0.1499677464,0.1999354928,0.2499641248,0.2999282496,0.0274919366,0.5068725513,0.04249103121,0.5106211598,0.2568146413,0.30575566,0.5832423677,0.6338580181,0.2862976021,0.571089484,0.6192908633,0.6500572493,0.1574107045,0.05778053687,0.2151912414,0.00001526872539,0.00003053745078,0.00001705529353,0.00003411058707,0.06966293376,0.07017813046,0.06966293376,-0.03948691446
0.01,0.99,0.05,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.01,0.99,0.05,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.01,0.99,0.05,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.01,0.99,0.05,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.01,0.99,0.05,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.01,0.99,0.05,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.01,0.99,0.05,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.01,0.99,0.05,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.01,0.99,0.05,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.01,0.99,0.05,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.01,0.99,0.05,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.01,0.99,0.05,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,